article_id,year,firstname,surname,name,role_raw,gender,type
2012E067T087,2012,Lukáš,DOLANSKÝ,Lukáš DOLANSKÝ,moderátor,M,M1
2012E067T087,2012,Martin,HÁJEK,Martin HÁJEK,ředitel,M,M5
2012E067T087,2012,Lukáš,DOLANSKÝ,Lukáš DOLANSKÝ,moderátor,M,M1
2012E067T087,2012,Martin,HÁJEK,Martin HÁJEK,ředitel,M,M5
2012E067T087,2012,Lukáš,DOLANSKÝ,Lukáš DOLANSKÝ,moderátor,M,M1
2012E067T087,2012,Martin,HÁJEK,Martin HÁJEK,ředitel,M,M5
2012E067T087,2012,Lukáš,DOLANSKÝ,Lukáš DOLANSKÝ,moderátor,M,M1
2012E067T087,2012,Martin,HÁJEK,Martin HÁJEK,ředitel,M,M5
2012E067T087,2012,Lukáš,DOLANSKÝ,Lukáš DOLANSKÝ,moderátor,M,M1
2012E067T087,2012,Martin,HÁJEK,Martin HÁJEK,ředitel,M,M5
2012E067T087,2012,Lukáš,DOLANSKÝ,Lukáš DOLANSKÝ,moderátor,M,M1
2012E067T087,2012,Martin,HÁJEK,Martin HÁJEK,ředitel,M,M5
2012E067T087,2012,Lukáš,DOLANSKÝ,Lukáš DOLANSKÝ,moderátor,M,M1
2012E067T087,2012,Martin,HÁJEK,Martin HÁJEK,ředitel,M,M5
2012E067T087,2012,Lukáš,DOLANSKÝ,Lukáš DOLANSKÝ,moderátor,M,M1
2012E067T087,2012,Martin,HÁJEK,Martin HÁJEK,ředitel,M,M5
2012E067T087,2012,Lukáš,DOLANSKÝ,Lukáš DOLANSKÝ,moderátor,M,M1
2012E067T087,2012,Martin,HÁJEK,Martin HÁJEK,ředitel,M,M5
2012E067T087,2012,Lukáš,DOLANSKÝ,Lukáš DOLANSKÝ,moderátor,M,M1
2012E067T087,2012,Martin,HÁJEK,Martin HÁJEK,ředitel,M,M5
